Code;Date;Aeshna;Agabus;Anacaena;Anax;Anisus;Anopheles;Atherix;Atrichopogon;Atrichops;Baetis;Berdeniella;Bezzia;Boyeria;Brachypogon;Caenis;Calopteryx;Centroptilum;Ceriagrion;Chironominii;Cloeon;Cordulegaster;Corynoneura;Culex;Culicoides;Dasyhelea;Deronectes;Dixella;Dryops;Dugesiia;Dytiscus;Echinogammarus;Electrogena;Elmis;Elodes;Graptodytes;Gyraulus;Gyrinus;Habroleptoides;Habrophlebia;Haliplus;Hemerodromia;Hydracarina;Hydraena;Hydrocyphon;Hydrometra;Hydropsyche;Hydroptila;Laccobius;Laccophilus;Limnebius;Limnephilus;Limnophora;Limoniidae;Lymnaea;Macropelopinii;Micronecta;Mormia;Mystacides;Naucoris;Nemoura;Notonecta;Oligochaeta;Onychogomphus;Orthetrum;Orthocladiinae;Oulimnius;Oxycera;Procambarus;Paracymus;Parasigara;Peltodytes;Pentaneurinii;Pericoma;Philopotamus;Physa;Pilaria;Platycnemis;Polycentropus;Pyrrhosoma;Radix;Riolus;Satchelliella;Sciomyzidae;Sericostoma;Sialis;Simulium;Sphaerium;Stactobia;Stictonectes;Sympetrum;Syrphidae;Tabanus;Tanytarsinii;Threticus;Tinodes;Tipula;Tonnoiriella;Velia
MU3;19/11/2019;1;2;0;0;0;0;0;0;0;1;0;4;0;0;4;0;0;0;0;0;0;0;0;0;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;1;0;1;0;0;1;1;0;0;4;0;0;4;0;1;0;0;465;0;7;0;0;0;0;1;6;0;0;0;0;0;1;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
MU4;19/11/2019;0;2;0;0;0;0;0;0;0;10;0;2;0;0;11;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;1;0;0;1;0;0;6;0;0;0;0;247;0;2;0;1;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0
R4;20/11/2019;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;7;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;19;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SA1;18/11/2019;1;15;0;0;0;0;0;0;0;18;0;8;1;4;164;3;5;0;4;48;1;40;0;0;6;0;1;0;0;0;0;1;0;1;0;0;1;0;3;2;0;0;1;0;0;5;0;0;0;0;0;0;0;0;1;0;0;0;0;376;1;19;2;1;125;12;4;0;0;0;0;9;1;8;3;0;0;0;1;0;0;0;0;0;0;183;1;1;2;0;0;1;24;0;4;0;2;0
SA2;18/11/2019;0;2;0;0;0;0;0;0;0;0;0;5;0;1;28;0;0;0;7;31;0;10;0;0;40;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;1;0;0;0;0;0;0;0;0;6;0;0;0;1;8;0;13;0;0;49;0;1;0;0;0;1;16;0;1;0;0;0;0;3;5;0;0;0;0;1;3;2;0;2;0;0;1;22;0;2;0;0;0
SA3;18/11/2019;0;0;0;0;0;0;0;0;0;2;0;1;0;0;21;0;0;0;0;4;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;13;0;0;0;0;20;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;1;0;1;0;0;3;0;0;0;0;0;0;5;0;0;0;0;1
SA4;18/11/2019;0;0;0;0;0;0;0;1;0;0;0;2;0;0;30;0;0;0;1;16;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;0;0;0;0;33;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0
SA4;19/11/2019;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SA5;18/11/2019;0;2;0;0;0;0;0;0;0;0;0;0;0;0;37;0;0;1;5;57;0;10;1;0;6;0;0;1;0;0;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;1;0;0;0;16;0;2;0;0;0;0;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;11;0;0;0;0;0
SC1;20/11/2019;0;0;0;0;0;0;0;0;0;2;0;0;0;0;4;0;0;0;43;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0
SC2;20/11/2019;0;0;0;0;0;0;0;0;0;6;0;0;0;0;20;0;0;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;2;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;11;0;0;0;0;0
SC3;20/11/2019;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;6;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;45;0;7;0;0;0;0;0
SC4;20/11/2019;0;0;0;0;0;0;0;0;0;7;0;0;0;0;6;0;0;0;60;0;0;8;0;1;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;27;0;1;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;25;0;0;0;0;0
T1;19/11/2019;0;1;0;0;0;0;0;0;0;0;0;7;0;0;20;0;0;0;0;13;0;0;0;0;14;0;8;1;0;0;0;0;1;0;0;0;0;0;0;0;2;0;2;0;0;0;1;0;0;1;3;1;0;0;0;0;0;0;0;85;0;0;0;0;170;0;4;0;0;0;0;6;1;1;0;0;0;0;0;0;0;0;0;0;0;37;0;0;0;0;0;0;12;0;4;0;0;1
T2;19/11/2019;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;7;10;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;1;0;1;0;0;21;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3;0;0;1;0;0
T3;19/11/2019;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;30;0;0;0;0;52;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;34;0;5;0;0;81;0;0;0;0;0;0;3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
T4;19/11/2019;0;0;0;0;0;0;0;0;0;0;0;5;0;0;2;0;0;0;2;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;28;0;1;0;0;102;0;0;0;0;0;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;1;0;0
