Code;Date;Aeshna;Agabus;Anacaena;Anax;Ancylus;Anisus;Anopheles;Aquarius;Arctocorixa;Atrichopogon;Atrichops;Baetis;Beraea;Berdeniella;Berosus;Bezzia;Bidessus;Boyeria;Brachypogon;Brillia;Caenis;Calopteryx;Centroptilum;Ceriagrion;Chalcolestes;Chironominii;Chironomus;Chrysopilus;Chrysops;Clinocera;Cloeon;Cordulegaster;Corynoneura;Culex;Culicoides;Dasyhelea;Deronectes;Dicranota;Dixa;Dixella;Dryops;Dugesia;Dytiscus;Echinogammarus;Elodes;Erpobdella;Erythromma;Eukiefferiella;Forcypomynia;Gerris;Glossiphonia;Gomphus;Graptodytes;Gyrinus;Habrophlebia;Halesus;Haliplus;Helius;Helochares;Helophorus;Hemerodromia;Electrogena;Hexatoma;Hydracarina;Hydraena;Hydrocyphon;Hydrometra;Hydrophilus;Hydroporus;Hydropsyche;Hydroptila;Isoperla;Laccobius;Laccophilus;Leuctra;Limnebius;Limnephilus;Limnophora;Lispe;Lymnaea;Macropelopinii;Micronecta;Microvelia;Molophilus;Mystacides;Naucoris;Nemoura;Nepa;Nilobezzia;Noterus;Notonecta;Ochthebius;Oligochaeta;Onychogomphus;Orthetrum;Orthocladiinae;Oulimnius;Oxycera;Oxyethira;Procambarus;Paracymus;Parasigara;Paratrichocladius;Peltodytes;Pentaneurinii;Pericoma;Philopotamus;Physa;Plea;Plectrocnemia;Polycentropus;Potamopyrgus;Procloeon;Prodiamesa;Psychoda;Pyrrhosoma;Radix;Riolus;Serratella;Setodes;Sialis;Simulium;Sphaerium;Stactobia;Stictonectes;Stratiomys;Sympetrum;Tachytrechus;Tanytarsinii;Thraulus;Tinodes;Tipula;Tonnoiriella;Velia;Wormaldia
MU4;21/05/2019;0;10;0;0;0;0;0;0;0;0;0;35;0;0;0;8;0;0;0;0;2;0;0;0;0;119;0;0;0;0;0;0;113;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;25;0;12;0;0;0;0;0;0;12;1;0;5;0;0;1;22;0;28;0;0;0;0;0;0;0;31;0;0;0;0;0;3;3;0;0;1;0;14;0;0;320;0;4;0;0;0;0;0;0;113;0;0;0;0;0;0;0;0;7;0;0;8;0;0;0;0;27;0;0;0;0;1;0;452;0;0;2;0;2;0
R4;27/05/2019;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;2;0;0;0;6;0;0;0;1;77;0;0;0;0;0;1;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;4;0;0;1;0;0;0;3;2;1;0;0;0;0;0;0;0;0;11;0;0;0;2;6;0;0;0;0;1;0;0;0;85;0;0;1;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;4;0;12;0;0;0;0;0;0
SA1;23/05/2019;10;5;0;4;1;0;0;0;0;0;0;34;0;0;0;5;0;4;8;0;16;3;11;0;22;0;0;0;0;0;0;0;160;0;0;3;7;1;0;1;3;0;2;0;0;0;0;0;0;10;0;0;0;2;112;0;5;0;0;0;0;0;0;12;1;0;1;0;1;0;13;0;4;1;5;0;5;0;0;0;0;15;0;0;0;0;20;0;0;0;19;0;0;0;0;296;22;0;0;0;0;3;0;2;184;0;0;11;0;2;0;8;0;0;0;11;16;1;0;4;0;4;0;0;1;0;4;0;136;0;0;2;5;2;0
SA2;23/05/2019;0;12;0;5;0;1;0;0;0;0;0;5;0;0;0;37;0;0;0;0;32;2;0;52;51;104;0;0;0;0;21;0;24;0;1;13;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;5;136;0;30;2;0;0;3;0;0;64;0;0;1;0;0;0;0;0;1;0;0;0;3;0;0;0;32;0;2;0;0;6;3;0;0;1;23;0;4;1;1;136;0;1;0;0;0;49;0;9;208;0;1;28;0;0;0;1;0;0;0;0;164;0;0;0;13;0;1;0;11;0;6;0;200;0;0;0;0;0;0
SA3;23/05/2019;0;0;0;5;0;0;0;0;0;0;0;28;0;0;0;12;0;0;0;32;54;4;0;9;22;212;0;0;0;0;0;1;208;0;0;3;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;133;0;2;0;0;0;17;0;0;11;0;0;0;0;0;0;2;0;1;0;4;0;0;0;0;0;64;1;3;0;0;0;1;0;0;0;4;0;0;0;1;120;2;2;0;0;0;0;0;0;92;0;0;3;0;0;0;0;0;0;0;8;2;1;0;0;0;14;0;0;1;0;0;0;60;0;0;0;0;0;0
SA4;23/05/2019;0;0;0;0;0;0;1;0;0;0;0;42;0;0;0;19;1;0;0;0;19;3;0;13;10;136;0;0;0;0;12;0;152;3;0;23;1;0;0;1;4;0;0;0;0;0;0;0;0;16;0;1;0;1;36;0;3;0;0;0;3;0;0;12;0;0;6;0;0;6;3;0;11;0;6;0;0;0;0;0;16;0;4;0;0;1;5;0;0;0;16;0;3;0;4;160;0;22;0;0;0;0;0;0;184;1;0;3;0;0;0;0;0;0;0;10;2;0;0;0;1;90;0;0;2;0;4;0;240;0;2;1;0;0;0
SA5;23/05/2019;0;3;0;6;0;0;0;0;0;0;0;18;0;0;0;11;1;0;0;0;30;6;0;3;26;64;0;0;0;0;7;0;96;8;0;29;1;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;22;0;0;0;0;0;0;0;0;21;0;0;2;0;0;1;5;0;7;0;3;0;1;0;0;2;16;10;0;0;0;0;1;1;0;0;94;0;0;0;11;272;0;12;0;0;0;0;0;4;256;0;0;2;0;0;0;0;0;0;0;11;0;0;0;0;0;1;0;0;53;0;0;0;240;0;2;0;0;0;0
SC1;27/05/2019;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;22;4;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;1;0;10;0;0;0;0;2;0;0;0;0;0;0;0;1;3;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;27;0;0;0;0;0;4;8;7;1;0;1;0;0;0;0;1;0;4;0;696;0;0;13;0;4;0;0;0;0;0;0;0;0;0;30;0;0;0;0;0;0;0;1;5;0;0;0;0;0;0;0;4;0;0;11;5;0;0;6;0;0;0
SC2;27/05/2019;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;7;6;0;0;0;4;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;19;0;0;0;0;0;0;0;0;1;0;0;3;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
SC3;27/05/2019;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;106;0;0;0;2;6;0;0;0;0;114;0;0;2;1;9;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;0;0;0;0;0;0;2;0;0;8;0;0;0;0;19;0;0;0;0;0;0;0;0;22;0;0;4;1;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;5;23;0;11;0;0;1;0;0;0
SC4;27/05/2019;6;2;1;0;0;0;0;0;4;0;0;4;0;0;1;3;0;0;0;0;17;0;0;0;33;134;0;0;0;0;35;0;35;68;14;0;0;0;0;19;3;0;0;0;0;0;1;0;0;10;0;0;1;7;26;0;1;0;0;0;0;0;0;4;0;4;1;1;0;0;0;0;14;0;0;0;0;0;0;0;27;0;0;0;0;0;0;0;0;0;25;0;0;0;0;131;0;0;0;0;0;0;0;0;80;0;0;2;0;0;0;0;0;0;0;4;2;0;0;0;0;1;0;0;47;0;3;0;38;0;0;3;0;0;0
T1;22/05/2019;0;2;0;0;0;0;0;10;0;0;0;38;1;0;0;38;0;0;0;0;32;0;0;0;1;296;0;0;0;0;0;0;32;1;0;2;0;1;1;0;0;0;0;0;0;0;0;0;0;55;0;0;0;0;15;0;0;0;0;0;2;0;0;0;0;0;7;0;0;0;5;0;9;0;0;0;0;0;0;2;80;0;0;0;0;0;0;0;0;0;3;0;0;1;0;104;1;7;2;0;0;0;16;0;104;0;0;3;0;0;0;0;27;0;1;0;1;0;0;0;0;4;0;6;0;0;1;0;560;0;6;1;1;4;0
T2;22/05/2019;0;1;0;1;0;0;0;12;0;0;0;0;0;0;0;28;0;0;0;0;90;0;0;0;2;155;0;0;0;0;0;0;5;0;2;10;0;0;2;1;1;0;0;0;0;0;0;0;0;11;0;0;0;0;17;0;0;0;0;0;3;0;0;2;0;0;1;0;0;0;0;0;88;0;0;0;0;0;0;3;91;1;0;0;0;0;0;0;0;0;10;1;0;4;0;21;3;2;0;0;0;0;0;0;214;0;0;6;0;0;0;0;76;0;0;0;1;0;0;0;0;0;0;0;0;0;8;0;528;0;4;1;1;0;0
T3;22/05/2019;0;0;0;0;0;0;0;0;0;0;0;162;0;0;0;5;12;0;0;0;54;0;0;0;3;435;0;0;0;0;0;0;102;1;2;8;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;2;57;0;0;0;0;0;0;0;0;128;0;0;0;0;0;0;6;0;37;0;0;0;0;0;0;0;51;0;0;0;0;0;0;0;0;0;3;0;1;2;1;627;1;14;0;0;0;0;0;0;230;0;0;34;0;0;0;0;36;0;0;0;1;0;0;0;0;87;0;0;0;0;4;0;1088;0;2;0;2;3;0
T4;22/05/2019;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;18;2;0;0;0;30;0;0;0;96;20;0;0;0;0;0;0;28;13;2;12;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;1;1;409;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;61;0;0;0;0;0;0;6;2;0;0;0;6;0;0;0;0;0;13;0;0;6;0;22;0;1;0;1;0;0;0;0;58;0;0;9;0;0;0;0;7;0;0;0;2;0;0;0;0;0;0;0;1;0;9;0;68;13;0;1;0;0;0
