Code;Date;Aedes;Aeshna;Agabus;Anacaena;Anax;Ancylus;Anopheles;Aquarius;Arctocorisa;Atherix;Atrichopogon;Baetis;Beraea;Berosus;Bezzia;Bidessus;Boyeria;Brachypogon;Caenis;Calopteryx;Centroptilum;Ceriagrion;Chalcolestes;Chaoborus;Chelifera;Chironominii;Chrysopilus;Chrysops;Cloeon;Coenagrionidae;Cordulegaster;Corynoneura;Culex;Culicoides;Dasyhelea;Deronectes;Dixa;Dixella;Dryops;Dugesia;Dytiscus;Echinogammarus;Elmis;Elodes;Ephydra;Erpobdella;Erythromma;Forcypomyia;Galba;Gerris;Graptodytes;Gyrinus;Habrophlebia;Haliplus;Helobdella;Helochares;Hemerodromia;Hydracarina;Hydraena;Hydrocyphon;Hydroglyphus;Hydrometra;Hydrophilus;Hydropsyche;Hydroptila;Ilybius;Laccobius;Laccophilus;Leuctra;Limnebius;Limnephilus;Limnophora;Limoniidae;Lispe;Lymnaea;Macropelopinii;Micronecta;Molophilus;Mystacides;Naucoris;Nepa;Notonecta;Oligochaeta;Onychogomphus;Orthetrum;Orthocladiinae;Oulimnius;Oxycera;Oxyethira;Peltodytes;Pentaneurinii;Pericoma;Peripsychoda;Philopotamus;Physa;Pilaria;Platycnemis;Plectrocnemia;Polycentropus;Potamopyrgus;Prionocera;Procloeon;Psychoda;Ptychoptera;Pyrrhosoma;Radix;Riolus;Satchelliella;Serratella;Sialis;Sigara;Simulium;Sphaerium;Stactobia;Stictonectes;Stratiomys;Sympetrum;Tabanus;Tachytrechus;Tanytarsinii;Thraulus;Tinodes;Tipula;Tonnoiriella;Velia;Veliidae;Wormaldia;Yola
MU4;09/07/2019;0;6;11;1;0;0;0;0;0;0;1;0;0;0;72;5;0;0;2416;0;0;0;8;0;1;704;0;0;147;0;5;0;31;8;8;0;0;3;4;0;0;0;0;0;1;1;0;1;0;4;1;0;4;8;0;3;0;28;3;0;0;2;0;4;133;1;10;0;0;0;0;0;0;0;0;16;0;0;4;0;2;1;0;1;7;496;0;48;0;3;784;1;64;0;2;0;0;0;0;0;0;0;0;0;9;84;0;0;0;0;0;0;0;0;18;0;3;3;0;304;0;4;0;0;1;0;0;0
R4;11/07/2019;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;34;0;0;1;0;0;0;159;0;0;9;0;0;2;2;0;93;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;2;3;0;0;4;14;0;1;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
SA1;10/07/2019;0;1;2;0;0;0;0;0;12;0;0;16;0;0;2;0;0;0;10;0;127;0;8;1;0;13;0;0;133;0;0;2;6;0;3;0;4;0;0;0;0;0;0;0;0;0;0;0;0;3;0;5;7;2;0;0;0;16;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;40;0;0;0;0;0;12;16;0;3;3;4;2;1;1;82;0;0;1;11;0;0;0;0;0;0;1;1;0;11;1;0;0;0;0;0;0;0;0;3;0;0;0;0;30;0;0;0;0;0;0;0;0
SA2;10/07/2019;1;3;0;0;0;0;1;0;1;0;0;43;0;0;32;0;0;0;98;0;0;14;4;0;0;8;0;0;106;0;0;11;0;0;12;0;2;2;0;0;0;0;0;3;0;0;0;0;0;0;0;0;13;15;0;0;0;15;6;0;0;0;1;32;7;0;3;6;0;0;2;0;2;0;0;49;3;0;0;5;1;2;1;0;4;132;11;0;0;41;147;0;0;0;12;0;0;0;0;12;0;0;0;0;8;36;2;0;0;0;0;4;3;0;0;0;0;0;0;30;0;6;0;1;0;0;0;0
SA3;10/07/2019;0;0;0;0;0;0;0;0;1;0;0;32;0;0;48;0;1;0;10;0;0;0;2;0;0;57;0;0;14;0;0;23;0;0;44;0;0;2;1;0;0;0;0;1;0;0;0;0;0;2;0;0;3;0;0;0;24;14;2;0;0;2;1;48;26;0;0;6;1;0;0;0;0;0;0;46;0;0;7;4;0;1;8;1;1;80;4;0;0;2;172;2;0;0;8;0;0;0;0;1;0;0;0;0;45;13;0;0;0;0;0;10;1;0;0;0;1;0;0;81;0;18;0;0;1;0;0;0
SA4;10/07/2019;0;2;0;0;0;0;0;0;0;0;0;0;0;0;34;0;0;0;312;0;0;19;0;0;0;8;0;0;478;0;0;8;1;0;236;0;0;0;0;0;0;0;0;0;0;0;5;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;38;0;0;0;1;0;1;0;12;6;44;0;11;0;0;92;0;0;0;0;0;0;1;0;0;0;584;0;0;4;0;0;0;0;0;0;3;0;0;1;0;0;0;0;82;0;2;0;0;0;0;0;0
SA5;10/07/2019;0;12;0;0;0;0;0;0;0;0;0;0;0;0;56;1;0;0;46;0;0;60;3;0;0;24;0;0;58;0;0;0;1;0;156;0;0;0;5;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;1;24;0;0;0;0;0;9;2;0;2;3;1;0;0;0;0;0;4;24;0;0;0;8;0;1;0;1;1;4;0;12;0;0;80;0;0;0;38;0;0;1;0;0;0;0;0;0;64;4;0;0;0;0;0;0;5;7;6;0;3;0;0;52;0;2;0;0;0;0;0;1
SC3;11/07/2019;0;0;0;0;0;0;0;0;0;0;0;0;0;0;46;0;0;0;58;0;0;0;0;0;0;5;0;0;31;0;0;0;0;10;52;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;80;0;0;0;0;3;0;15;0;0;1;0;7;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;1;5;0;1;28;0;0;0;0;0;0;0;0
SC4;11/07/2019;0;30;0;0;5;0;0;0;0;0;0;0;0;3;124;0;0;0;326;0;0;2;2;0;0;56;0;0;150;0;1;0;0;5;1144;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;0;1;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;166;0;0;0;0;0;2;0;0;3;8;0;2;0;0;168;0;0;0;2;0;2;0;0;0;0;0;0;0;122;8;0;0;0;0;0;0;0;0;3;1;5;5;0;92;0;2;0;0;0;0;0;1
T1;09/07/2019;0;0;2;5;0;0;2;2;0;0;4;48;1;0;162;0;0;0;206;0;0;6;0;0;0;144;0;0;111;0;0;0;18;0;255;0;0;2;6;0;0;0;5;2;0;2;0;0;4;8;4;0;0;3;0;0;0;14;6;0;0;7;0;25;23;0;22;0;0;0;0;0;0;0;0;123;1;0;3;1;0;3;134;4;12;49;8;168;4;0;319;1;0;0;34;0;0;3;0;0;1;100;0;1;0;11;0;0;0;1;0;2;3;21;0;0;5;1;1;391;0;33;1;1;0;2;0;10
T3;09/07/2019;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;0;0;0;444;0;0;0;0;0;0;3;0;0;45;0;0;0;1;0;62;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;1;0;0;0;0;5;0;3;0;9;0;1;0;0;4;0;0;0;2;0;0;0;0;0;0;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0
T4;09/07/2019;0;0;0;0;0;0;0;0;0;0;0;0;0;0;85;0;0;0;1246;0;0;0;0;0;0;0;0;0;60;0;0;220;0;0;750;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;413;3;0;0;0;1;4;0;7;1;225;0;1;0;0;639;0;0;0;2;0;0;0;0;0;0;146;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2257;0;0;0;0;0;0;0;1
